UID,주거 형태,연간 소득,현재 직장 근속 연수,체납 세금 압류 횟수,개설된 신용계좌 수,신용 거래 연수,최대 신용한도,신용 문제 발생 횟수,마지막 연체 이후 경과 개월 수,개인 파산 횟수,대출 목적,대출 상환 기간,현재 대출 잔액,현재 미상환 신용액,월 상환 부채액,신용 점수,채무 불이행 여부
TRAIN_00038,자가,738858.0,10년 이상,0.0,12,19.8,653247.0,0,69,0,부채 통합,단기 상환,381903.0,623056.5,25626.0,785,0
TRAIN_00039,월세,1960512.0,8년,0.0,12,10.2,832386.0,0,31,0,부채 통합,단기 상환,808807.5,767200.5,28389.0,751,1
TRAIN_00040,자가,1053747.0,8년,0.0,15,20.1,81823.5,1,43,3,부채 통합,단기 상환,295135.5,132751.5,5103.0,800,1
TRAIN_00041,자가,1468018.5,2년,0.0,11,19.5,0.0,0,40,0,부채 통합,장기 상환,508075.5,97068.0,6886.5,651,0
TRAIN_00042,주택 담보 대출 (거주 중),1103085.0,6년,1.0,23,16.1,998535.0,0,42,0,부채 통합,장기 상환,387433.5,261796.5,29835.0,718,1
TRAIN_00043,월세,2006050.5,5년,1.0,9,11.2,1261672.5,2,32,0,부채 통합,단기 상환,528048.0,203248.5,25662.0,736,1
TRAIN_00044,월세,2292121.5,2년,0.0,7,27.2,1133137.5,0,27,0,주택 개보수,장기 상환,662314.5,158898.0,16434.0,685,1
TRAIN_00045,월세,1920613.5,8년,0.0,16,22.8,104800.5,2,70,3,부채 통합,단기 상환,388233.0,113824.5,42990.0,655,1
TRAIN_00046,자가,2131626.0,1년,0.0,13,15.8,521527.5,0,40,0,부채 통합,단기 상환,290830.5,237874.5,45367.5,667,0
TRAIN_00047,주택 담보 대출 (거주 중),3221271.0,4년,0.0,18,36.3,1288260.0,0,8,0,부채 통합,장기 상환,1270152.0,211755.0,25336.5,529,0
TRAIN_00048,월세,1321915.5,10년 이상,0.0,8,18.4,270450.0,0,72,0,부채 통합,단기 상환,58650.0,87513.0,22150.5,775,0
TRAIN_00049,주택 담보 대출 (거주 중),2193403.5,7년,0.0,16,26.9,1374525.0,0,6,0,기타,장기 상환,611020.5,1088926.5,36961.5,615,1
TRAIN_00050,월세,1852198.5,3년,0.0,11,13.7,1202125.5,0,0,0,부채 통합,단기 상환,107218.5,197791.5,17668.5,747,0
TRAIN_00051,자가,3802665.0,2년,0.0,12,13.1,407548.5,0,7,0,주택 개보수,단기 상환,135475.5,467106.0,39490.5,664,1
TRAIN_00052,월세,1600468.5,3년,0.0,13,13.5,895279.5,5,34,3,부채 통합,단기 상환,385588.5,215955.0,34662.0,764,1
TRAIN_00053,자가,923323.5,10년 이상,0.0,7,18.0,0.0,0,71,0,부채 통합,단기 상환,414582.0,270741.0,7881.0,687,0
TRAIN_00054,주택 담보 대출 (거주 중),1412610.0,1년 미만,0.0,16,13.7,517326.0,0,76,0,부채 통합,장기 상환,543187.5,228691.5,15384.0,733,1
TRAIN_00055,월세,2318446.5,8년,0.0,6,22.4,432885.0,1,49,1,부채 통합,단기 상환,363460.5,252412.5,28089.0,793,1
TRAIN_00056,월세,1491948.0,1년,0.0,13,21.7,425322.0,0,28,0,부채 통합,단기 상환,154738.5,90778.5,10339.5,782,0
TRAIN_00057,월세,1198476.0,5년,0.0,12,27.3,911446.5,1,66,0,부채 통합,단기 상환,491664.0,593643.0,10332.0,800,0
TRAIN_00058,주택 담보 대출 (거주 중),4607970.0,10년 이상,0.0,9,31.3,1807749.0,1,22,1,부채 통합,단기 상환,1223505.0,256327.5,29101.5,798,0
TRAIN_00059,월세,1600107.0,2년,0.0,6,30.2,882651.0,0,31,0,부채 통합,장기 상환,504975.0,147085.5,7051.5,675,0
TRAIN_00060,자가,959785.5,5년,0.0,10,11.2,83023.5,0,63,0,기타,단기 상환,166726.5,0.0,16809.0,716,0
TRAIN_00061,주택 담보 대출 (거주 중),2690202.0,10년 이상,0.0,14,15.1,2524911.0,0,11,0,부채 통합,단기 상환,535747.5,202657.5,30609.0,784,0
TRAIN_00062,주택 담보 대출 (거주 중),4074408.0,2년,0.0,15,11.9,440394.0,0,10,0,주택 개보수,장기 상환,644497.5,194554.5,36222.0,787,0
TRAIN_00063,주택 담보 대출 (거주 중),2430243.0,10년 이상,0.0,6,18.8,979584.0,1,38,1,부채 통합,단기 상환,552381.0,540346.5,33165.0,818,1
TRAIN_00064,주택 담보 대출 (거주 중),2380201.5,10년 이상,0.0,16,24.4,427023.0,1,44,0,부채 통합,단기 상환,420894.0,389052.0,18852.0,800,0
TRAIN_00065,주택 담보 대출 (거주 중),7050775.5,10년 이상,0.0,11,19.8,1144665.0,0,39,0,부채 통합,장기 상환,524824.5,573754.5,31827.0,785,0
TRAIN_00066,자가,1234987.5,8년,0.0,19,15.3,911506.5,1,23,1,부채 통합,단기 상환,532941.0,516348.0,34131.0,798,1
TRAIN_00067,주택 담보 대출 (거주 중),3400143.0,10년 이상,0.0,11,28.9,5131585.5,0,7,0,주택 개보수,단기 상환,1039597.5,944175.0,108526.5,793,0
TRAIN_00068,주택 담보 대출 (거주 중),2301982.5,10년 이상,0.0,15,29.6,1042713.0,1,7,1,부채 통합,단기 상환,357037.5,770451.0,46701.0,709,1
TRAIN_00069,월세,1462834.5,10년 이상,0.0,7,9.1,345300.0,0,37,0,주택 개보수,단기 상환,335050.5,100159.5,13600.5,785,0
TRAIN_00070,자가,1052976.0,8년,1.0,9,27.6,118677.0,2,19,0,주택 개보수,단기 상환,263496.0,115549.5,6358.5,704,0
TRAIN_00071,월세,1896349.5,3년,0.0,9,15.5,890064.0,0,37,0,부채 통합,장기 상환,315591.0,248461.5,19810.5,751,0
TRAIN_00072,자가,1166926.5,10년 이상,1.0,14,16.0,412578.0,0,37,0,부채 통합,단기 상환,309307.5,19981.5,8989.5,767,1
TRAIN_00073,주택 담보 대출 (거주 중),5251720.5,1년 미만,1.0,12,26.9,1312764.0,2,9,0,주택 개보수,장기 상환,1195159.5,380287.5,85537.5,795,0
TRAIN_00074,월세,1259178.0,10년 이상,0.0,7,12.2,116047.5,0,28,0,부채 통합,단기 상환,147504.0,71623.5,7836.0,727,0
TRAIN_00075,월세,2335294.5,7년,1.0,7,14.7,833275.5,2,26,0,부채 통합,단기 상환,550807.5,629355.0,27667.5,800,0
TRAIN_00076,월세,1526494.5,4년,0.0,18,22.9,678835.5,1,48,3,부채 통합,단기 상환,545278.5,446790.0,22467.0,713,0
TRAIN_00077,주택 담보 대출 (거주 중),1633701.0,10년 이상,0.0,19,31.9,18359748.0,1,64,1,부채 통합,단기 상환,279034.5,371275.5,19027.5,805,0
TRAIN_00078,월세,2365165.5,10년 이상,0.0,8,26.0,575910.0,0,32,0,부채 통합,단기 상환,319723.5,244233.0,26878.5,805,0
TRAIN_00079,월세,1592062.5,10년 이상,0.0,11,23.3,1241992.5,0,7,0,부채 통합,단기 상환,399595.5,185851.5,3504.0,789,0
TRAIN_00080,월세,1158201.0,10년 이상,0.0,10,14.9,629973.0,0,40,0,주택 개보수,단기 상환,305584.5,87322.5,11418.0,769,1
TRAIN_00081,자가,1671837.0,3년,0.0,13,18.6,797863.5,0,22,0,부채 통합,장기 상환,623988.0,128835.0,18360.0,680,1
TRAIN_00082,월세,2217654.0,6년,0.0,16,27.4,653604.0,0,59,1,부채 통합,장기 상환,592242.0,250221.0,28543.5,787,1
TRAIN_00083,주택 담보 대출 (비거주 중),1631703.0,8년,0.0,15,21.4,492177.0,6,11,3,부채 통합,단기 상환,243403.5,164577.0,46483.5,796,0
TRAIN_00084,주택 담보 대출 (거주 중),2640183.0,6년,1.0,7,23.2,221854.5,2,46,0,소규모 사업 자금,단기 상환,548389.5,158893.5,23928.0,800,0
TRAIN_00085,자가,973867.5,2년,0.0,6,10.6,0.0,0,20,0,교육비,단기 상환,106900.5,0.0,0.0,713,0
TRAIN_00086,주택 담보 대출 (거주 중),1812156.0,10년 이상,0.0,11,41.1,983199.0,1,20,1,부채 통합,단기 상환,470865.0,160521.0,49761.0,740,1
TRAIN_00087,자가,2417559.0,3년,0.0,18,18.8,1309581.0,0,9,0,부채 통합,장기 상환,606499.5,461923.5,6936.0,802,1
TRAIN_00088,월세,1629523.5,1년 미만,0.0,7,17.4,179377.5,1,33,1,부채 통합,단기 상환,305545.5,92733.0,6213.0,815,0
TRAIN_00089,주택 담보 대출 (거주 중),2719960.5,10년 이상,0.0,8,16.5,814771.5,0,36,0,부채 통합,단기 상환,646153.5,800755.5,27987.0,695,1
TRAIN_00090,주택 담보 대출 (거주 중),2484909.0,7년,0.0,18,19.0,12860191.5,0,29,0,부채 통합,장기 상환,1159981.5,256927.5,37752.0,680,0
TRAIN_00091,주택 담보 대출 (거주 중),7032834.0,1년 미만,1.0,11,28.6,1049701.5,0,33,0,주택 개보수,단기 상환,522787.5,187282.5,41250.0,767,0
TRAIN_00092,주택 담보 대출 (거주 중),1869858.0,10년 이상,0.0,13,27.2,0.0,0,23,0,사업 대출,단기 상환,1002682.5,179004.0,13983.0,796,0
TRAIN_00093,주택 담보 대출 (거주 중),3937293.0,4년,0.0,13,29.1,4927245.0,0,31,0,부채 통합,단기 상환,1001118.0,1048329.0,28897.5,804,0
TRAIN_00094,월세,1378264.5,8년,0.0,8,14.6,338785.5,0,9,0,부채 통합,장기 상환,632176.5,211894.5,22069.5,775,1
TRAIN_00095,주택 담보 대출 (거주 중),4431013.5,10년 이상,0.0,18,32.1,1561020.0,1,33,0,부채 통합,장기 상환,1262046.0,997212.0,26068.5,736,0
TRAIN_00096,주택 담보 대출 (거주 중),3119035.5,7년,0.0,15,18.3,4530082.5,0,30,0,부채 통합,장기 상환,1257664.5,347619.0,21139.5,715,1
TRAIN_00097,자가,2339697.0,8년,0.0,13,16.9,549025.5,5,46,3,부채 통합,단기 상환,518503.5,180019.5,13893.0,729,0
TRAIN_00098,주택 담보 대출 (거주 중),1618662.0,5년,1.0,14,26.3,907627.5,2,13,0,부채 통합,단기 상환,198946.5,103173.0,59800.5,693,0
TRAIN_00099,주택 담보 대출 (거주 중),2209911.0,3년,0.0,12,15.9,692910.0,0,5,0,부채 통합,장기 상환,684682.5,100128.0,15250.5,687,1
TRAIN_00100,월세,1950963.0,2년,0.0,6,15.6,494623.5,0,31,0,의료비,장기 상환,227562.0,39889.5,6663.0,665,0
TRAIN_00101,월세,2245248.0,7년,0.0,4,28.2,857970.0,1,26,0,부채 통합,단기 상환,1227531.0,176593.5,17199.0,776,0
TRAIN_00102,월세,1958677.5,10년 이상,0.0,13,19.1,793174.5,0,24,0,주택 개보수,장기 상환,503671.5,210042.0,9705.0,684,1
TRAIN_00103,자가,1272465.0,4년,0.0,12,24.0,654537.0,1,45,1,부채 통합,장기 상환,469395.0,85545.0,27930.0,678,1
TRAIN_00104,주택 담보 대출 (거주 중),1293082.5,2년,0.0,13,18.2,456105.0,0,8,0,부채 통합,장기 상환,710370.0,202839.0,30870.0,711,0
TRAIN_00105,월세,1426845.0,8년,2.0,15,26.6,728205.0,6,63,3,부채 통합,단기 상환,1014735.0,156103.5,8509.5,762,0
TRAIN_00106,월세,1763989.5,10년 이상,0.0,11,14.6,617052.0,1,71,0,여행 자금,단기 상환,211987.5,192205.5,17055.0,809,0
TRAIN_00107,주택 담보 대출 (거주 중),3780759.0,10년 이상,0.0,19,26.4,855759.0,0,18,0,주택 개보수,단기 상환,520635.0,1170946.5,17284.5,798,1
TRAIN_00108,주택 담보 대출 (거주 중),1034496.0,8년,0.0,8,15.6,511566.0,0,13,0,부채 통합,장기 상환,1140669.0,138504.0,16801.5,702,0
TRAIN_00109,주택 담보 대출 (거주 중),1135338.0,5년,0.0,8,10.2,179614.5,0,12,0,기타,단기 상환,109296.0,0.0,15762.0,633,0
TRAIN_00110,주택 담보 대출 (거주 중),1381162.5,10년 이상,0.0,11,16.7,1300023.0,5,72,1,부채 통합,단기 상환,382840.5,198364.5,21562.5,798,1
TRAIN_00111,월세,1642225.5,8년,0.0,13,18.4,294516.0,2,32,3,기타,장기 상환,522531.0,187105.5,18339.0,744,1
TRAIN_00112,자가,1298782.5,10년 이상,1.0,19,29.3,468406.5,1,70,0,부채 통합,단기 상환,540619.5,85258.5,6045.0,791,0
TRAIN_00113,자가,2608143.0,10년 이상,1.0,9,11.0,619806.0,2,33,0,사업 대출,장기 상환,860289.0,0.0,13594.5,736,0
TRAIN_00114,월세,1286127.0,10년 이상,0.0,8,19.7,474076.5,4,75,0,사업 대출,단기 상환,116878.5,104841.0,7063.5,795,0
TRAIN_00115,주택 담보 대출 (거주 중),4410615.0,5년,4.0,7,26.0,1264258.5,5,61,0,기타,장기 상환,1249291.5,284976.0,34393.5,673,0
TRAIN_00116,주택 담보 대출 (거주 중),4451772.0,8년,4.0,27,27.4,1302190.5,2,4,3,주택 개보수,단기 상환,1118074.5,276210.0,37789.5,665,0
TRAIN_00117,자가,1480506.0,10년 이상,0.0,24,14.8,863890.5,0,6,0,부채 통합,단기 상환,719718.0,445389.0,27816.0,758,1
TRAIN_00118,주택 담보 대출 (거주 중),2409316.5,2년,0.0,9,23.5,929703.0,0,7,0,기타,장기 상환,252003.0,117891.0,25407.0,758,0
TRAIN_00119,주택 담보 대출 (거주 중),4866306.0,2년,0.0,7,27.8,1043559.0,0,29,0,부채 통합,장기 상환,750409.5,2583391.5,19300.5,789,0
TRAIN_00120,월세,1416288.0,6년,0.0,11,17.5,802596.0,0,2,0,부채 통합,단기 상환,390255.0,595600.5,31972.5,767,0
TRAIN_00121,주택 담보 대출 (거주 중),1579914.0,10년 이상,0.0,10,17.0,784362.0,0,39,0,부채 통합,단기 상환,549439.5,462378.0,41805.0,747,1
TRAIN_00122,월세,3522819.0,4년,0.0,19,22.5,742428.0,1,70,3,주택 개보수,단기 상환,188988.0,186022.5,53265.0,805,0
TRAIN_00123,월세,2240740.5,9년,0.0,11,18.7,382956.0,0,12,0,부채 통합,단기 상환,515899.5,343608.0,8485.5,758,0
TRAIN_00124,월세,1080373.5,10년 이상,0.0,11,11.5,568600.5,0,63,0,기타,단기 상환,189021.0,202336.5,11203.5,800,0
TRAIN_00125,주택 담보 대출 (거주 중),1725903.0,1년 미만,0.0,14,25.9,1077324.0,0,9,0,부채 통합,장기 상환,748956.0,2141454.0,98065.5,725,0
TRAIN_00126,자가,2361801.0,3년,0.0,14,16.2,646111.5,5,13,0,기타,장기 상환,697540.5,173191.5,12843.0,702,0
TRAIN_00127,자가,2634058.5,5년,4.0,9,36.7,1456305.0,4,85,0,고액 구매,단기 상환,1305205.5,279105.0,27054.0,744,0
TRAIN_00128,월세,999954.0,10년 이상,0.0,9,11.4,156982.5,0,32,0,부채 통합,단기 상환,176670.0,89818.5,9562.5,675,0
TRAIN_00129,월세,2308512.0,8년,0.0,13,20.5,624459.0,6,68,3,자동차 구매,단기 상환,368205.0,145753.5,6742.5,751,1
TRAIN_00130,자가,2239714.5,10년 이상,0.0,14,23.1,4576705.5,0,40,0,주택 개보수,단기 상환,373642.5,1176700.5,32451.0,807,0
TRAIN_00131,주택 담보 대출 (거주 중),1061245.5,8년,0.0,10,15.2,1003791.0,0,10,1,부채 통합,단기 상환,452122.5,447073.5,16165.5,771,0
TRAIN_00132,월세,2458528.5,5년,4.0,10,19.3,442675.5,5,31,0,의료비,단기 상환,317391.0,13648.5,4825.5,747,0
TRAIN_00133,월세,1286334.0,10년 이상,0.0,19,13.1,685258.5,0,25,0,사업 대출,장기 상환,302305.5,205618.5,11698.5,731,1
TRAIN_00134,주택 담보 대출 (거주 중),11691184.5,10년 이상,0.0,22,42.3,1540876.5,0,5,0,부채 통합,장기 상환,919699.5,807948.0,21757.5,775,0
TRAIN_00135,월세,1297854.0,2년,1.0,17,19.4,410767.5,1,47,1,부채 통합,단기 상환,347823.0,419683.5,37498.5,778,0
TRAIN_00136,자가,1695243.0,6년,0.0,12,17.8,1163233.5,0,26,0,부채 통합,단기 상환,853551.0,557673.0,27019.5,742,0
TRAIN_00137,자가,1493398.5,10년 이상,0.0,18,9.9,386143.5,0,18,0,기타,장기 상환,382188.0,166902.0,19578.0,738,1
TRAIN_00138,월세,2283960.0,8년,0.0,7,15.9,718372.5,0,15,0,부채 통합,장기 상환,525837.0,109881.0,4261.5,644,1
TRAIN_00139,월세,1460674.5,10년 이상,0.0,8,13.8,461742.0,0,8,0,부채 통합,단기 상환,235948.5,130722.0,10185.0,755,0
TRAIN_00140,주택 담보 대출 (거주 중),5176038.0,10년 이상,0.0,28,25.8,6554793.0,0,5,0,부채 통합,단기 상환,483579.0,421717.5,30282.0,782,1
TRAIN_00141,주택 담보 대출 (거주 중),1534309.5,9년,0.0,12,22.3,1791987.0,1,19,1,부채 통합,단기 상환,271563.0,135853.5,14929.5,805,0
TRAIN_00142,월세,1141780.5,10년 이상,0.0,11,20.9,556566.0,0,10,0,부채 통합,단기 상환,518290.5,432555.0,28503.0,764,1
TRAIN_00143,월세,2251294.5,10년 이상,0.0,22,18.7,1060470.0,0,61,0,부채 통합,장기 상환,541567.5,507319.5,50983.5,675,0
TRAIN_00144,자가,1636161.0,10년 이상,0.0,12,23.2,326653.5,0,29,0,기타,장기 상환,344382.0,165298.5,28924.5,793,0
TRAIN_00145,주택 담보 대출 (거주 중),1995294.0,10년 이상,0.0,13,16.3,438667.5,0,6,0,주택 개보수,장기 상환,749083.5,112759.5,22368.0,564,1
TRAIN_00146,자가,894250.5,10년 이상,0.0,9,25.9,851250.0,0,5,0,기타,단기 상환,254170.5,131545.5,11425.5,776,0
TRAIN_00147,주택 담보 대출 (거주 중),1340422.5,10년 이상,0.0,13,28.7,180768.0,0,55,0,주택 개보수,단기 상환,351505.5,37888.5,25135.5,765,0
TRAIN_00148,월세,2233480.5,2년,0.0,8,13.3,342021.0,0,25,0,부채 통합,장기 상환,842338.5,165573.0,12447.0,733,1
TRAIN_00149,월세,1415620.5,8년,0.0,12,14.7,0.0,1,45,1,부채 통합,단기 상환,121246.5,18738.0,10308.0,713,1
TRAIN_00150,자가,1955197.5,10년 이상,0.0,9,19.9,0.0,0,6,0,부채 통합,단기 상환,200127.0,56860.5,20575.5,784,0
TRAIN_00151,주택 담보 대출 (거주 중),1467634.5,3년,0.0,10,19.7,647967.0,0,6,0,부채 통합,장기 상환,537529.5,121989.0,22165.5,713,1
TRAIN_00152,주택 담보 대출 (거주 중),1637577.0,10년 이상,0.0,8,15.5,116196.0,0,39,0,여행 자금,단기 상환,222259.5,20683.5,8818.5,696,0
TRAIN_00153,주택 담보 대출 (거주 중),2697732.0,10년 이상,0.0,15,15.5,1204248.0,0,32,0,부채 통합,장기 상환,642646.5,485782.5,43245.0,707,1
TRAIN_00154,월세,1991242.5,8년,0.0,12,22.1,836682.0,6,73,3,의료비,단기 상환,362290.5,139738.5,7060.5,804,1
TRAIN_00155,월세,1134579.0,6년,0.0,9,16.2,462685.5,0,9,0,부채 통합,단기 상환,188278.5,117522.0,17098.5,782,0
TRAIN_00156,주택 담보 대출 (거주 중),1263006.0,10년 이상,0.0,21,13.3,759627.0,1,21,1,부채 통합,단기 상환,555166.5,591385.5,20004.0,793,0
TRAIN_00157,주택 담보 대출 (거주 중),1939275.0,10년 이상,0.0,14,18.1,1348933.5,0,2,0,부채 통합,단기 상환,239290.5,507147.0,20410.5,751,1
TRAIN_00158,자가,1168746.0,5년,1.0,9,13.1,673903.5,2,28,0,주택 개보수,단기 상환,158589.0,138081.0,22051.5,691,0
TRAIN_00159,주택 담보 대출 (거주 중),1348560.0,5년,1.0,7,14.7,911451.0,4,17,0,부채 통합,단기 상환,370303.5,230734.5,21360.0,787,0
TRAIN_00160,주택 담보 대출 (거주 중),5370936.0,10년 이상,0.0,20,27.3,1383222.0,0,8,0,여행 자금,장기 상환,508950.0,553894.5,36088.5,782,0
TRAIN_00161,주택 담보 대출 (거주 중),1761828.0,5년,0.0,3,12.2,75804.0,1,28,0,사업 대출,장기 상환,731202.0,232530.0,20991.0,607,0
TRAIN_00162,자가,1033735.5,2년,0.0,12,16.3,368530.5,0,29,0,기타,장기 상환,182170.5,185200.5,2142.0,747,0
TRAIN_00163,자가,1357603.5,8년,0.0,13,22.0,58746.0,6,31,3,부채 통합,단기 상환,497064.0,95268.0,30427.5,682,0
TRAIN_00164,월세,1536895.5,3년,0.0,10,18.6,821887.5,0,32,0,부채 통합,단기 상환,203736.0,424185.0,30586.5,802,1
TRAIN_00165,월세,1352868.0,10년 이상,0.0,12,20.9,0.0,0,52,0,여행 자금,장기 상환,392022.0,172824.0,9898.5,740,0
TRAIN_00166,주택 담보 대출 (거주 중),3202942.5,10년 이상,0.0,14,18.4,551140.5,0,34,0,사업 대출,단기 상환,1310100.0,538518.0,40971.0,780,0
TRAIN_00167,주택 담보 대출 (거주 중),2852799.0,10년 이상,1.0,22,23.8,1046658.0,1,31,0,부채 통합,장기 상환,1213503.0,171004.5,42151.5,600,0
TRAIN_00168,주택 담보 대출 (거주 중),1993593.0,10년 이상,0.0,20,13.0,456445.5,2,24,0,부채 통합,장기 상환,540382.5,264493.5,22840.5,758,1
TRAIN_00169,자가,3393936.0,10년 이상,0.0,13,36.9,3665140.5,0,21,0,부채 통합,단기 상환,858115.5,602800.5,13288.5,647,0
TRAIN_00170,주택 담보 대출 (거주 중),2339289.0,10년 이상,0.0,11,29.9,881635.5,0,3,0,부채 통합,장기 상환,506553.0,171067.5,35503.5,738,0
TRAIN_00171,월세,1293546.0,10년 이상,0.0,28,14.7,333183.0,1,72,0,부채 통합,단기 상환,286548.0,150846.0,11935.5,802,1
